Graph: 24 vertices, 37 edges
Enumerating minimal dominating sets (basic)...
Model found. Size: 18, Elapsed: 0.000028708s
Model found. Size: 17, Elapsed: 0.000001375s
Model found. Size: 16, Elapsed: 0.000001166s
Model found. Size: 15, Elapsed: 0.000001167s
Model found. Size: 14, Elapsed: 0.000001083s
Model found. Size: 13, Elapsed: 0.000001083s
Model found. Size: 12, Elapsed: 0.000000833s
Model found. Size: 9, Elapsed: 0.000000792s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 17, Elapsed: 0.000030250s
Model found. Size: 16, Elapsed: 0.000001333s
Model found. Size: 15, Elapsed: 0.000001125s
Model found. Size: 14, Elapsed: 0.000001041s
Model found. Size: 13, Elapsed: 0.000001000s
Model found. Size: 12, Elapsed: 0.000000875s
Model found. Size: 11, Elapsed: 0.000000916s
Model found. Size: 8, Elapsed: 0.000000666s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 17, Elapsed: 0.000082833s
Model found. Size: 16, Elapsed: 0.000003125s
Model found. Size: 15, Elapsed: 0.000002417s
Model found. Size: 14, Elapsed: 0.000001750s
Model found. Size: 13, Elapsed: 0.000001500s
Model found. Size: 12, Elapsed: 0.000001333s
Model found. Size: 11, Elapsed: 0.000001209s
Model found. Size: 9, Elapsed: 0.000001375s
UNSAT. Elapsed: 0.000000041s
Model found. Size: 17, Elapsed: 0.000060834s
Model found. Size: 16, Elapsed: 0.000002333s
Model found. Size: 15, Elapsed: 0.000001666s
Model found. Size: 14, Elapsed: 0.000001291s
Model found. Size: 13, Elapsed: 0.000001291s
Model found. Size: 12, Elapsed: 0.000001250s
Model found. Size: 11, Elapsed: 0.000001083s
Model found. Size: 8, Elapsed: 0.000001542s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000050500s
Model found. Size: 16, Elapsed: 0.000002125s
Model found. Size: 15, Elapsed: 0.000001292s
Model found. Size: 14, Elapsed: 0.000001542s
Model found. Size: 13, Elapsed: 0.000001291s
Model found. Size: 8, Elapsed: 0.000001875s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 17, Elapsed: 0.000040917s
Model found. Size: 16, Elapsed: 0.000002084s
Model found. Size: 15, Elapsed: 0.000001458s
Model found. Size: 14, Elapsed: 0.000001250s
Model found. Size: 13, Elapsed: 0.000001417s
Model found. Size: 12, Elapsed: 0.000001083s
Model found. Size: 11, Elapsed: 0.000000875s
Model found. Size: 10, Elapsed: 0.000001000s
Model found. Size: 8, Elapsed: 0.000001209s
UNSAT. Elapsed: 0.000000041s
Model found. Size: 17, Elapsed: 0.000042500s
Model found. Size: 16, Elapsed: 0.000002125s
Model found. Size: 15, Elapsed: 0.000001292s
Model found. Size: 14, Elapsed: 0.000001125s
Model found. Size: 13, Elapsed: 0.000001000s
Model found. Size: 12, Elapsed: 0.000001000s
Model found. Size: 11, Elapsed: 0.000000791s
Model found. Size: 10, Elapsed: 0.000001041s
Model found. Size: 8, Elapsed: 0.000001041s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000041333s
Model found. Size: 16, Elapsed: 0.000001667s
Model found. Size: 15, Elapsed: 0.000001209s
Model found. Size: 14, Elapsed: 0.000001208s
Model found. Size: 13, Elapsed: 0.000001291s
Model found. Size: 8, Elapsed: 0.000001458s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000043166s
Model found. Size: 16, Elapsed: 0.000001875s
Model found. Size: 15, Elapsed: 0.000001416s
Model found. Size: 14, Elapsed: 0.000001292s
Model found. Size: 13, Elapsed: 0.000001083s
Model found. Size: 12, Elapsed: 0.000001000s
Model found. Size: 11, Elapsed: 0.000001000s
Model found. Size: 9, Elapsed: 0.000000917s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 18, Elapsed: 0.000045875s
Model found. Size: 17, Elapsed: 0.000002541s
Model found. Size: 16, Elapsed: 0.000001625s
Model found. Size: 15, Elapsed: 0.000001458s
Model found. Size: 14, Elapsed: 0.000001500s
Model found. Size: 13, Elapsed: 0.000001208s
Model found. Size: 12, Elapsed: 0.000000916s
Model found. Size: 8, Elapsed: 0.000001292s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 18, Elapsed: 0.000044959s
Model found. Size: 17, Elapsed: 0.000001875s
Model found. Size: 16, Elapsed: 0.000001292s
Model found. Size: 15, Elapsed: 0.000001166s
Model found. Size: 14, Elapsed: 0.000001167s
Model found. Size: 13, Elapsed: 0.000000959s
Model found. Size: 12, Elapsed: 0.000000792s
Model found. Size: 8, Elapsed: 0.000001000s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 18, Elapsed: 0.000043167s
Model found. Size: 17, Elapsed: 0.000001834s
Model found. Size: 16, Elapsed: 0.000001125s
Model found. Size: 15, Elapsed: 0.000001167s
Model found. Size: 14, Elapsed: 0.000001083s
Model found. Size: 13, Elapsed: 0.000000875s
Model found. Size: 12, Elapsed: 0.000000791s
Model found. Size: 8, Elapsed: 0.000000708s
UNSAT. Elapsed: 0.000000041s
Model found. Size: 18, Elapsed: 0.000042000s
Model found. Size: 17, Elapsed: 0.000001583s
Model found. Size: 16, Elapsed: 0.000001125s
Model found. Size: 15, Elapsed: 0.000000917s
Model found. Size: 14, Elapsed: 0.000001125s
Model found. Size: 8, Elapsed: 0.000001041s
UNSAT. Elapsed: 0.000000041s
Model found. Size: 18, Elapsed: 0.000043916s
Model found. Size: 17, Elapsed: 0.000001458s
Model found. Size: 16, Elapsed: 0.000001083s
Model found. Size: 15, Elapsed: 0.000000917s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 7, Elapsed: 0.000001375s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 18, Elapsed: 0.000058291s
Model found. Size: 17, Elapsed: 0.000002083s
Model found. Size: 16, Elapsed: 0.000001167s
Model found. Size: 15, Elapsed: 0.000001125s
Model found. Size: 14, Elapsed: 0.000001042s
Model found. Size: 13, Elapsed: 0.000001084s
Model found. Size: 12, Elapsed: 0.000001166s
Model found. Size: 9, Elapsed: 0.000001250s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000047042s
Model found. Size: 16, Elapsed: 0.000001625s
Model found. Size: 15, Elapsed: 0.000001125s
Model found. Size: 14, Elapsed: 0.000001084s
Model found. Size: 13, Elapsed: 0.000001000s
Model found. Size: 12, Elapsed: 0.000000958s
Model found. Size: 8, Elapsed: 0.000001042s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 17, Elapsed: 0.000044750s
Model found. Size: 16, Elapsed: 0.000001708s
Model found. Size: 15, Elapsed: 0.000001041s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 13, Elapsed: 0.000000917s
Model found. Size: 12, Elapsed: 0.000000834s
Model found. Size: 11, Elapsed: 0.000000875s
Model found. Size: 8, Elapsed: 0.000000959s
UNSAT. Elapsed: 0.000000041s
Model found. Size: 16, Elapsed: 0.000040041s
Model found. Size: 15, Elapsed: 0.000001625s
Model found. Size: 14, Elapsed: 0.000001125s
Model found. Size: 13, Elapsed: 0.000001000s
Model found. Size: 12, Elapsed: 0.000001417s
Model found. Size: 8, Elapsed: 0.000001250s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 16, Elapsed: 0.000041291s
Model found. Size: 15, Elapsed: 0.000001584s
Model found. Size: 14, Elapsed: 0.000001125s
Model found. Size: 13, Elapsed: 0.000000958s
Model found. Size: 12, Elapsed: 0.000000917s
Model found. Size: 11, Elapsed: 0.000001000s
Model found. Size: 8, Elapsed: 0.000001208s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 16, Elapsed: 0.000035166s
Model found. Size: 15, Elapsed: 0.000001500s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 13, Elapsed: 0.000001000s
Model found. Size: 12, Elapsed: 0.000001000s
Model found. Size: 8, Elapsed: 0.000000875s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000041292s
Model found. Size: 16, Elapsed: 0.000001667s
Model found. Size: 15, Elapsed: 0.000001458s
Model found. Size: 14, Elapsed: 0.000001125s
Model found. Size: 13, Elapsed: 0.000001084s
Model found. Size: 12, Elapsed: 0.000001041s
Model found. Size: 8, Elapsed: 0.000001375s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 16, Elapsed: 0.000039625s
Model found. Size: 15, Elapsed: 0.000001542s
Model found. Size: 14, Elapsed: 0.000001041s
Model found. Size: 13, Elapsed: 0.000001042s
Model found. Size: 12, Elapsed: 0.000001000s
Model found. Size: 8, Elapsed: 0.000001041s
UNSAT. Elapsed: 0.000000041s
Model found. Size: 17, Elapsed: 0.000042542s
Model found. Size: 16, Elapsed: 0.000001666s
Model found. Size: 15, Elapsed: 0.000001250s
Model found. Size: 14, Elapsed: 0.000001167s
Model found. Size: 13, Elapsed: 0.000001125s
Model found. Size: 8, Elapsed: 0.000001250s
UNSAT. Elapsed: 0.000000000s
Model found. Size: 17, Elapsed: 0.000037542s
Model found. Size: 16, Elapsed: 0.000009250s
Model found. Size: 15, Elapsed: 0.000001042s
Model found. Size: 14, Elapsed: 0.000001167s
Model found. Size: 13, Elapsed: 0.000000917s
Model found. Size: 8, Elapsed: 0.000001125s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000052541s
Model found. Size: 16, Elapsed: 0.000001708s
Model found. Size: 15, Elapsed: 0.000001458s
Model found. Size: 14, Elapsed: 0.000001167s
Model found. Size: 13, Elapsed: 0.000001084s
Model found. Size: 12, Elapsed: 0.000000959s
Model found. Size: 11, Elapsed: 0.000000833s
Model found. Size: 10, Elapsed: 0.000001084s
Model found. Size: 9, Elapsed: 0.000001125s
Model found. Size: 8, Elapsed: 0.000000875s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 17, Elapsed: 0.000046791s
Model found. Size: 16, Elapsed: 0.000002000s
Model found. Size: 15, Elapsed: 0.000001250s
Model found. Size: 14, Elapsed: 0.000001333s
Model found. Size: 13, Elapsed: 0.000001292s
Model found. Size: 12, Elapsed: 0.000000834s
Model found. Size: 11, Elapsed: 0.000000916s
Model found. Size: 8, Elapsed: 0.000001417s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 16, Elapsed: 0.000044375s
Model found. Size: 15, Elapsed: 0.000001375s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 13, Elapsed: 0.000001125s
Model found. Size: 12, Elapsed: 0.000001042s
Model found. Size: 11, Elapsed: 0.000000875s
Model found. Size: 8, Elapsed: 0.000000875s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000044334s
Model found. Size: 16, Elapsed: 0.000001791s
Model found. Size: 15, Elapsed: 0.000001334s
Model found. Size: 14, Elapsed: 0.000001166s
Model found. Size: 13, Elapsed: 0.000001042s
Model found. Size: 12, Elapsed: 0.000000917s
Model found. Size: 11, Elapsed: 0.000000792s
Model found. Size: 7, Elapsed: 0.000001291s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 16, Elapsed: 0.000052542s
Model found. Size: 15, Elapsed: 0.000001292s
Model found. Size: 14, Elapsed: 0.000000917s
Model found. Size: 13, Elapsed: 0.000001000s
Model found. Size: 12, Elapsed: 0.000000917s
Model found. Size: 11, Elapsed: 0.000000750s
Model found. Size: 8, Elapsed: 0.000000917s
UNSAT. Elapsed: 0.000000041s
Model found. Size: 17, Elapsed: 0.000051334s
